time,h1,h2,h3,h4
.5,2.30799786503587,2.30166603354356,2.29863798427263,2.29686258733234
1,2.49006201824323,2.48262624738228,2.47902957749642,2.58829723261312
1.5,2.60022620250401,2.59351710664336,2.59023973355631,
2,2.66772787250012,2.6622699286492,2.65957929689476,2.65797708416176
2.5,2.70938800499274,2.70518844985266,2.70310002326473,2.70310002326473
